model,n,mean_bp,sd_bp,t_stat,annualized_return,annualized_sd,annualized_sharpe,hit_rate,cum_return,max_drawdown,first_bar_mode,retrain_period,use_train_weights,position_sizing,annual_scale,long_share,avg_abs_position,max_abs_position,first_bar_trades,retrain_count
linear_minmax_plus_hour,12772,0.614317311887263,34.0135204897263,2.04112980424645,0.0877991373153464,0.132259683920339,0.663839007571107,0.502505480739117,1.0357771775814,0.225605691754803,exclude,year,FALSE,sign,1512,0.517303476354526,1,1,0,10
linear_minmax,12772,0.609627204004075,34.0136048807877,2.02554143305845,0.0870253246117496,0.132260012070291,0.657986667697407,0.507124960851863,1.02357676842243,0.178266747092735,exclude,year,FALSE,sign,1512,0.528656435953649,1,1,0,10
linear_minmax_plus_hour,12772,0.609273292042687,34.0136112226207,2.02436515116674,0.0869700711637902,0.132260036730156,0.657568781273145,0.502035703100532,1.02270807940846,0.214433837099751,exclude,static,FALSE,sign,1512,0.520748512370811,1,1,0,1
linear_minmax,14909,0.676924851530279,40.5094917363175,2.04036526500006,0.111109179570981,0.170139865292534,0.653046124022391,0.50593601180495,1.43628124054379,0.221861287933027,close_to_open,year,TRUE,zscore_2x,1764,0.511905560399759,0.493703394304087,2,2138,10
benchmark_spy,14909,0.719423890774105,43.1556730159632,2.03550052804548,0.116740230137957,0.181253826667046,0.644070430316505,0.534375209604937,1.54262758597734,0.318712050168831,close_to_open,static,FALSE,benchmark,1764,1,1,1,2138,
linear_minmax_plus_hour,12772,0.711815602410957,40.4241840216561,1.99001200256995,0.100055942295586,0.157187192753445,0.636540042117352,0.501879110554338,1.2378671370512,0.227607521711581,exclude,static,TRUE,zscore_2x,1512,0.53554650798622,0.607905493763102,2,0,1
linear_minmax_plus_hour,12772,0.441400806647208,25.9378575847478,1.92321782733125,0.063613657008428,0.100857917567389,0.630725465513642,0.502035703100532,0.683627674042041,0.180541109121716,exclude,static,FALSE,zscore_1x,1512,0.520748512370811,0.510832800087946,1,0,1
linear_minmax,12772,0.688790249842545,39.5556066540895,1.96792433521155,0.0967946933466324,0.153809777936022,0.629314303976788,0.507124960851863,1.18244023992161,0.202833824281526,exclude,year,FALSE,zscore_2x,1512,0.528656435953649,0.635763729536989,2,0,10
linear_minmax,12772,0.44558940349901,26.8262053448999,1.87717630966287,0.0639076362854003,0.104312208457523,0.612657302825909,0.507751331036643,0.68756256758704,0.144786690573222,exclude,static,FALSE,zscore_1x,1512,0.524115252113999,0.55698632717733,1,0,1
linear_minmax,12772,0.570896646496316,34.0142770452849,1.89681817423871,0.0806778402262365,0.132262625744579,0.60998214553852,0.50782962730974,0.925906603181431,0.176227039100001,exclude,static,TRUE,sign,1512,0.536720952082681,1,1,0,1
linear_minmax,14909,0.393428408858819,26.0414516951353,1.84469590321992,0.0654909305572624,0.109374097119568,0.598779165104033,0.505399423167214,0.709406797296905,0.163806123469208,next_open_close,year,FALSE,zscore_1x,1764,0.493460325977597,0.557126313072729,1,2138,10
linear_minmax,12772,0.676204336541231,41.5352631287321,1.83988399035548,0.0934085899973374,0.161507562106472,0.578354281242625,0.50782962730974,1.12617549898523,0.22870105719763,exclude,static,TRUE,zscore_2x,1512,0.536720952082681,0.678101346194274,2,0,1
linear_minmax,14909,0.378742868876524,25.9853223194383,1.77967464766831,0.0627620401251317,0.109138353741641,0.575068598466364,0.504594540210611,0.672755407015064,0.168699675937595,next_open_close,static,FALSE,zscore_1x,1764,0.481655375947414,0.552499811315987,1,2138,1
linear_minmax,14909,0.380872003466245,26.959251409176,1.72502533972511,0.0626787608257178,0.113228855918539,0.553558192540698,0.505198202428064,0.671647874184354,0.151278628261102,next_open_close,static,TRUE,zscore_1x,1764,0.474411429337984,0.58996331698564,1,2138,1
linear_minmax_plus_hour,14909,0.828640930068745,55.7078460702437,1.81624433035749,0.125426227867745,0.233972953495024,0.536071481742492,0.505667717486082,1.71470106510483,0.481930376518972,close_to_open,static,TRUE,zscore_2x,1764,0.485143202092696,0.614037562542916,2,2138,1
linear_minmax_plus_hour,12772,0.59524563912788,39.2579647171073,1.71355440183769,0.0815983514444643,0.15265241380729,0.534536922209922,0.502505480739117,0.939807824582722,0.228675045440784,exclude,year,FALSE,zscore_2x,1512,0.517303476354526,0.581587537438417,2,0,10
linear_minmax_plus_hour,14909,0.348046743382455,25.6685064970628,1.65562216339764,0.0571768998509548,0.107807727287664,0.530359940696917,0.499899389630425,0.599895340511588,0.183356172843081,next_open_close,year,FALSE,zscore_1x,1764,0.481588302367697,0.53275898374457,1,2138,10
