signal_date,trade_date,trade_type,strategy_model,first_bar_mode,retrain_period,use_train_weights,position_sizing,position,strategy_ret,benchmark_ret,strategy_equity,benchmark_equity
2021-09-17T14:00:00Z,2021-09-17T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000350341865853032,-0.000350341865853032,1.0073691656722,1.03446263662464
2021-09-17T15:00:00Z,2021-09-17T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.00101754703328516,0.00101754703328516,1.00839421117815,1.03551525101158
2021-09-17T16:00:00Z,2021-09-17T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00262028461712205,-0.00262028461712205,1.00575193133861,1.03280190632856
2021-09-17T17:00:00Z,2021-09-17T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.000283112882768499,0.000283112882768499,1.00546719000998,1.03309430585359
2021-09-17T18:00:00Z,2021-09-17T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000532113623240904,-0.000532113623240904,1.0060022127995,1.03254458229936
2021-09-20T13:00:00Z,2021-09-20T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00354577375897924,-0.00354577375897924,1.00243515655188,1.02888341281446
2021-09-20T14:00:00Z,2021-09-20T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.0028792555396876,-0.0028792555396876,1.00532142352956,1.02592099454842
2021-09-20T15:00:00Z,2021-09-20T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00288770300552121,-0.00288770300552121,1.0082244932258,1.02295843940904
2021-09-20T16:00:00Z,2021-09-20T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.000857245461812095,0.000857245461812095,1.0073601973545,1.02383536588884
2021-09-20T17:00:00Z,2021-09-20T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00532395083447135,-0.00532395083447135,1.01272333351782,1.01838451673826
2021-09-20T18:00:00Z,2021-09-20T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.0101470862036865,0.0101470862036865,1.00244714255213,1.0287181522181
2021-09-21T13:00:00Z,2021-09-21T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00614101418390967,-0.00614101418390967,1.00860318467316,1.02240077945409
2021-09-21T14:00:00Z,2021-09-21T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.00500368935620732,0.00500368935620732,1.00355644765337,1.02751655535202
2021-09-21T15:00:00Z,2021-09-21T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00111269156648619,-0.00111269156648619,1.00243979885758,1.02637324634645
2021-09-21T16:00:00Z,2021-09-21T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.0027102760806651,-0.0027102760806651,1.00515668746673,1.02359149148705
2021-09-21T17:00:00Z,2021-09-21T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.00174796186265014,0.00174796186265014,1.00339971191105,1.0253806903771
2021-09-21T18:00:00Z,2021-09-21T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00310359096969981,-0.00310359096969981,1.00651385419593,1.02219832812594
2021-09-22T13:00:00Z,2021-09-22T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.00249507851485586,0.00249507851485586,1.00902518528844,1.02474879321237
2021-09-22T14:00:00Z,2021-09-22T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.00226048040916993,0.00226048040916993,1.01130606695214,1.02706521778374
2021-09-22T15:00:00Z,2021-09-22T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00104800309844399,-0.00104800309844399,1.0102462150605,1.0259888502532
2021-09-22T16:00:00Z,2021-09-22T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00100355806951924,-0.00100355806951924,1.01126005580183,1.0249592108633
2021-09-22T17:00:00Z,2021-09-22T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000913242009132342,-0.000913242009132342,1.01218358096694,1.02402317505429
2021-09-22T18:00:00Z,2021-09-22T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.000525558119873093,0.000525558119873093,1.01165161966717,1.02456135874888
2021-09-23T13:00:00Z,2021-09-23T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.00334675048618327,0.00334675048618327,1.01503736521713,1.02799030997439
2021-09-23T14:00:00Z,2021-09-23T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-4.50744855875485e-05,4.50744855875485e-05,1.01499161293005,1.0280366461088
2021-09-23T15:00:00Z,2021-09-23T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-4.28169014083935e-05,4.28169014083935e-05,1.01494815413422,1.02808066345252
2021-09-23T16:00:00Z,2021-09-23T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.00250371839365382,0.00250371839365382,1.01748929849634,1.03065468791977
2021-09-23T17:00:00Z,2021-09-23T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00153081524341303,-0.00153081524341303,1.01904688662448,1.02907694601281
2021-09-23T18:00:00Z,2021-09-23T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.0023187231264491,-0.0023187231264491,1.02140977420744,1.02669080149919
2021-09-24T13:00:00Z,2021-09-24T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00218650677366272,-0.00218650677366272,1.01917645481745,1.02444593510726
2021-09-24T14:00:00Z,2021-09-24T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.00117466341375261,0.00117466341375261,1.01797926552381,1.0256493142666
2021-09-24T15:00:00Z,2021-09-24T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000541491809936234,0.000541491809936234,1.01853049295878,1.02620469497014
2021-09-24T16:00:00Z,2021-09-24T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00148826301666405,-0.00148826301666405,1.02004633422279,1.02467743247509
2021-09-24T17:00:00Z,2021-09-24T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.00257446760461577,0.00257446760461577,1.01742025798013,1.02731543133017
2021-09-24T18:00:00Z,2021-09-24T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,6.75766995540394e-05,-6.75766995540394e-05,1.01748901188322,1.02724600874392
2021-09-27T13:00:00Z,2021-09-27T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.00069994806836915,0.00069994806836915,1.01820120135168,1.02796502760348
2021-09-27T14:00:00Z,2021-09-27T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000913870523726823,-0.000913870523726823,1.01913170541682,1.02702560066534
2021-09-27T15:00:00Z,2021-09-27T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000948638026832871,-0.000948638026832871,1.02009849250693,1.02605132512601
2021-09-27T16:00:00Z,2021-09-27T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.00248705600397914,0.00248705600397914,1.01756145042649,1.02860317223456
2021-09-27T17:00:00Z,2021-09-27T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000451039646384821,-0.000451039646384821,1.01802041098326,1.02813923142348
2021-09-27T18:00:00Z,2021-09-27T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00128607206516096,-0.00128607206516096,1.01932965859559,1.02681697027885
2021-09-28T13:00:00Z,2021-09-28T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00531975615881641,-0.00531975615881641,1.02475224382477,1.02135455437724
2021-09-28T14:00:00Z,2021-09-28T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00238740186400999,-0.00238740186400999,1.02719873924183,1.0189161706103
2021-09-28T15:00:00Z,2021-09-28T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00280750201357738,-0.00280750201357738,1.03008260177059,1.01605556140965
2021-09-28T16:00:00Z,2021-09-28T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000900048464147929,0.000900048464147929,1.03100972603426,1.01697006065718
2021-09-28T17:00:00Z,2021-09-28T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.00502651602490212,0.00502651602490212,1.02582733912452,1.02208187696392
2021-09-28T18:00:00Z,2021-09-28T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00486417033773856,-0.00486417033773856,1.02083754020991,1.01711029661525
2021-09-29T13:00:00Z,2021-09-29T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.00105434458731568,0.00105434458731568,1.02191385474496,1.01818268135119
2021-09-29T14:00:00Z,2021-09-29T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00238133400499174,-0.00238133400499174,1.02434737295743,1.0157580483088
2021-09-29T15:00:00Z,2021-09-29T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00165243734508402,-0.00165243734508402,1.02604004281085,1.0140795717762
2021-09-29T16:00:00Z,2021-09-29T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000183903818303022,-0.000183903818303022,1.02622873549245,1.01389307867089
2021-09-29T17:00:00Z,2021-09-29T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.00390885470557123,0.00390885470557123,1.02221735647073,1.0178562394024
